city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Guangzhou,Guangzhou,23.13,113.26,China,CN,CHN,Guangdong,admin,26940000.0,1156237133
Shanghai,Shanghai,31.2286,121.4747,China,CN,CHN,Shanghai,admin,24073000.0,1156073548
Beijing,Beijing,39.9067,116.3975,China,CN,CHN,Beijing,primary,18522000.0,1156228865
Shenzhen,Shenzhen,22.5415,114.0596,China,CN,CHN,Guangdong,minor,17619000.0,1156158707
Chengdu,Chengdu,30.66,104.0633,China,CN,CHN,Sichuan,admin,14645000.0,1156421555
Xi’an,Xi'an,34.2611,108.9422,China,CN,CHN,Shaanxi,admin,12328000.0,1156244079
Chongqing,Chongqing,29.5637,106.5504,China,CN,CHN,Chongqing,admin,12135000.0,1156936556
Baoding,Baoding,38.874,115.464,China,CN,CHN,Hebei,minor,11544036.0,1156256829
Linyi,Linyi,35.1038,118.3564,China,CN,CHN,Shandong,,11018365.0,1156086320
Dongguan,Dongguan,23.021,113.752,China,CN,CHN,Guangdong,minor,10646000.0,1156478242
Tianjin,Tianjin,39.1336,117.2054,China,CN,CHN,Tianjin,admin,10368000.0,1156174046
Wuhan,Wuhan,30.5934,114.3046,China,CN,CHN,Hubei,admin,10251000.0,1156117184
Nanyang,Nanyang,32.9987,112.5292,China,CN,CHN,Henan,,9713112.0,1156192287
Hangzhou,Hangzhou,30.267,120.153,China,CN,CHN,Zhejiang,admin,9523000.0,1156275243
Foshan,Foshan,23.0214,113.1216,China,CN,CHN,Guangdong,minor,9498863.0,1156738403
Tongshan,Tongshan,34.204,117.284,China,CN,CHN,Jiangsu,minor,9083790.0,1156241678
Zhoukou,Zhoukou,33.625,114.6418,China,CN,CHN,Henan,minor,9026015.0,1156272098
Ganzhou,Ganzhou,25.831,114.933,China,CN,CHN,Jiangxi,minor,8970014.0,1156832475
Heze,Heze,35.2343,115.4796,China,CN,CHN,Shandong,minor,8795939.0,1156225008
Quanzhou,Quanzhou,24.8744,118.6757,China,CN,CHN,Fujian,minor,8782285.0,1156829655
Nanjing,Nanjing,32.0608,118.7789,China,CN,CHN,Jiangsu,admin,8422000.0,1156644065
Jining,Jining,35.4151,116.5871,China,CN,CHN,Shandong,,8357897.0,1156504601
Fuyang,Fuyang,32.89,115.814,China,CN,CHN,Anhui,,8200264.0,1156248008
Shenyang,Shenyang,41.8025,123.4281,China,CN,CHN,Liaoning,admin,7964000.0,1156309382
Shangqiu,Shangqiu,34.415,115.656,China,CN,CHN,Henan,,7816831.0,1156805441
Cangzhou,Cangzhou,38.3047,116.8387,China,CN,CHN,Hebei,minor,7300783.0,1156698069
Xingtai,Xingtai,37.0717,114.5048,China,CN,CHN,Hebei,,7111106.0,1156294952
Zhumadian,Zhumadian,33.014,114.022,China,CN,CHN,Henan,,7008427.0,1156184822
Zhanjiang,Zhanjiang,21.2701,110.3575,China,CN,CHN,Guangdong,minor,6981236.0,1156502170
Bijie,Bijie,27.284,105.292,China,CN,CHN,Guizhou,,6899636.0,1156018927
Yancheng,Yancheng,33.3482,120.1626,China,CN,CHN,Jiangsu,minor,6709629.0,1156995410
Hengyang,Hengyang,26.894,112.572,China,CN,CHN,Hunan,,6645243.0,1156696884
Zunyi,Zunyi,27.722,107.031,China,CN,CHN,Guizhou,,6606675.0,1156539782
Shaoyang,Shaoyang,27.2395,111.4679,China,CN,CHN,Hunan,,6563520.0,1156310366
Shangrao,Shangrao,28.4551,117.9431,China,CN,CHN,Jiangxi,minor,6435300.0,1156405492
Xinyang,Xinyang,32.149,114.091,China,CN,CHN,Henan,,6234401.0,1156273453
Maoming,Maoming,21.6627,110.9255,China,CN,CHN,Guangdong,minor,6174050.0,1156568722
Jieyang,Jieyang,23.551,116.3727,China,CN,CHN,Guangdong,minor,6089400.0,1156260378
Liaocheng,Liaocheng,36.4559,115.9852,China,CN,CHN,Shandong,minor,5952128.0,1156006600
Huanggang,Huanggang,30.4537,114.8724,China,CN,CHN,Hubei,minor,5882719.0,1156200037
Dalian,Dalian,38.9,121.6,China,CN,CHN,Liaoning,,5871474.0,1156175472
Qingdao,Qingdao,36.0669,120.3827,China,CN,CHN,Shandong,minor,5818255.0,1156112588
Yulin,Yulin,22.654,110.181,China,CN,CHN,Guangxi,minor,5796766.0,1156901312
Qujing,Qujing,25.491,103.796,China,CN,CHN,Yunnan,,5765775.0,1156747998
Nangandao,Nangandao,35.3036,113.9268,China,CN,CHN,Henan,minor,5708191.0,1156127660
Pudong,Pudong,31.2347,121.5064,China,CN,CHN,Shanghai,minor,5681512.0,1156644508
Zhengzhou,Zhengzhou,34.764,113.684,China,CN,CHN,Henan,admin,5621593.0,1156183137
Dezhou,Dezhou,37.436,116.359,China,CN,CHN,Shandong,minor,5611194.0,1156524080
Nanchong,Nanchong,30.8372,106.1106,China,CN,CHN,Sichuan,minor,5607565.0,1156762337
Jinan,Jinan,36.6702,117.0207,China,CN,CHN,Shandong,admin,5606374.0,1156972469
Tai’an,Tai'an,36.202,117.087,China,CN,CHN,Shandong,,5472217.0,1156095188
Langfang,Langfang,39.5383,116.6835,China,CN,CHN,Hebei,minor,5464087.0,1156109017
Dazhou,Dazhou,31.2093,107.4678,China,CN,CHN,Sichuan,minor,5385422.0,1156834076
Suzhou,Suzhou,33.6333,116.9683,China,CN,CHN,Anhui,,5324476.0,1156871297
Yongzhou,Yongzhou,26.42,111.613,China,CN,CHN,Hunan,,5289824.0,1156694479
Changde,Changde,29.031,111.699,China,CN,CHN,Hunan,minor,5279102.0,1156449091
Xiangyang,Xiangyang,32.01,112.122,China,CN,CHN,Hubei,minor,5260951.0,1156107325
Zhaotong,Zhaotong,27.338,103.717,China,CN,CHN,Yunnan,,5092611.0,1156924687
Zhangzhou,Zhangzhou,24.513,117.647,China,CN,CHN,Fujian,minor,5054328.0,1156241637
Yichun,Yichun,27.816,114.417,China,CN,CHN,Jiangxi,minor,5007702.0,1156229590
Bozhou,Bozhou,33.8626,115.7742,China,CN,CHN,Anhui,,4996844.0,1156356860
Suqian,Suqian,33.9331,118.2831,China,CN,CHN,Jiangsu,,4986192.0,1156212349
Ji’an,Ji'an,27.0912,114.9668,China,CN,CHN,Jiangxi,minor,4956600.0,1156278215
Guilin,Guilin,25.275,110.296,China,CN,CHN,Guangxi,minor,4931137.0,1156235364
Pingdingshan,Pingdingshan,33.735,113.2999,China,CN,CHN,Henan,,4904701.0,1156735124
Mianyang,Mianyang,31.468,104.679,China,CN,CHN,Sichuan,minor,4868243.0,1156417758
Huanglongsi,Huanglongsi,34.795,114.345,China,CN,CHN,Henan,,4824016.0,1156198356
Yuncheng,Yuncheng,35.0267,111.007,China,CN,CHN,Shanxi,,4774508.0,1156705644
Changsha,Changsha,28.228,112.939,China,CN,CHN,Hunan,admin,4766296.0,1156961497
Weinan,Weinan,34.5206,109.471,China,CN,CHN,Shaanxi,minor,4688744.0,1156903687
Chenzhou,Chenzhou,25.77,113.016,China,CN,CHN,Hunan,minor,4667134.0,1156291915
Jiangmen,Jiangmen,22.5789,113.0815,China,CN,CHN,Guangdong,minor,4630300.0,1156105613
Jiujiang,Jiujiang,29.661,115.954,China,CN,CHN,Jiangxi,minor,4600276.0,1156206041
Xinpu,Xinpu,34.5966,119.2214,China,CN,CHN,Jiangsu,minor,4599360.0,1156035381
Yibin,Yibin,28.752,104.643,China,CN,CHN,Sichuan,minor,4588804.0,1156107603
Huaihua,Huaihua,27.5698,110.0016,China,CN,CHN,Hunan,,4587594.0,1156353465
Yangzhou,Yangzhou,32.3912,119.4363,China,CN,CHN,Jiangsu,,4559797.0,1156818601
Taizhou,Taizhou,32.4567,119.9229,China,CN,CHN,Jiangsu,minor,4512762.0,1156119229
Kunming,Kunming,25.0464,102.7094,China,CN,CHN,Yunnan,admin,4422686.0,1156477539
Yiyang,Yiyang,28.5549,112.356,China,CN,CHN,Hunan,,4413800.0,1156218615
Changchun,Changchun,43.897,125.326,China,CN,CHN,Jilin,admin,4408154.0,1156078103
Lu’an,Lu'an,31.736,116.52,China,CN,CHN,Anhui,minor,4393699.0,1156499624
Jiangguanchi,Jiangguanchi,34.0244,113.8201,China,CN,CHN,Henan,minor,4379998.0,1156235735
Meizhou,Meizhou,24.289,116.122,China,CN,CHN,Guangdong,minor,4378800.0,1156361028
Ürümqi,Urumqi,43.8225,87.6125,China,CN,CHN,Xinjiang,admin,4335017.0,1156051276
Suzhou,Suzhou,31.3,120.6194,China,CN,CHN,Jiangsu,minor,4330000.0,1156029196
Guigang,Guigang,23.112,109.599,China,CN,CHN,Guangxi,minor,4316262.0,1156895251
Shantou,Shantou,23.354,116.682,China,CN,CHN,Guangdong,minor,4312192.0,1156457499
