city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Pyongyang,Pyongyang,39.0167,125.7475,"Korea, North",KP,PRK,P’yŏngyang,primary,2863000.0,1408738594
Hamhŭng,Hamhung,39.9167,127.5333,"Korea, North",KP,PRK,Hamnam,admin,768551.0,1408482040
Nampo,Nampo,38.7333,125.4,"Korea, North",KP,PRK,Namp’o,,703317.0,1408358410
Ch’ŏngjin,Ch'ongjin,41.7833,129.7667,"Korea, North",KP,PRK,Hambuk,admin,667929.0,1408498177
Sunch’ŏn,Sunch'on,39.4167,125.9333,"Korea, North",KP,PRK,P’yŏngnam,,437000.0,1408510801
Wŏnsan,Wonsan,39.1475,127.4461,"Korea, North",KP,PRK,Kangwŏn,admin,363127.0,1408692125
Sinŭiju,Sinuiju,40.1,124.4,"Korea, North",KP,PRK,P’yŏngbuk,admin,352000.0,1408740449
Tanch’ŏn,Tanch'on,40.458,128.911,"Korea, North",KP,PRK,Hamnam,,345876.0,1408940912
Kaech’ŏn,Kaech'on,39.6986,125.9061,"Korea, North",KP,PRK,P’yŏngnam,,319554.0,1408781295
Sariwŏn,Sariwon,38.5064,125.7597,"Korea, North",KP,PRK,Hwangbuk,admin,307764.0,1408018673
Kanggye,Kanggye,40.9667,126.6,"Korea, North",KP,PRK,Chagang,admin,251971.0,1408728939
Haeju,Haeju,38.0333,125.7167,"Korea, North",KP,PRK,Hwangnam,admin,241599.0,1408348983
Anju,Anju,39.62,125.66,"Korea, North",KP,PRK,P’yŏngnam,,240117.0,1408625970
P’yŏngsŏng-si,P'yongsong-si,39.2605,125.8618,"Korea, North",KP,PRK,P’yŏngnam,admin,236609.0,1408002002
P’yŏng-dong,P'yong-dong,39.1919,125.8178,"Korea, North",KP,PRK,P’yŏngyang,,236583.0,1408184982
Rajin,Rajin,42.3444,130.3844,"Korea, North",KP,PRK,Rasŏn,admin,196954.0,1408449973
Kusŏng,Kusong,39.9667,125.1667,"Korea, North",KP,PRK,P’yŏngbuk,,196515.0,1408227006
Hyesan,Hyesan,41.4,128.1833,"Korea, North",KP,PRK,Ryanggang,admin,192680.0,1408642146
Kaesŏng,Kaesong,37.9667,126.55,"Korea, North",KP,PRK,Kaesŏng,admin,192578.0,1408725697
Chŏngju,Chongju,39.65,125.3333,"Korea, North",KP,PRK,P’yŏngbuk,,189742.0,1408650871
Chaedŏk,Chaedok,40.7988,129.3602,"Korea, North",KP,PRK,Hambuk,,187270.0,1408001232
Hŭich’ŏn,Huich'on,40.1707,126.2761,"Korea, North",KP,PRK,Chagang,,168180.0,1408445793
Hoeryŏng,Hoeryong,42.4333,129.75,"Korea, North",KP,PRK,Hambuk,minor,153532.0,1408656165
Sinpo,Sinpo,40.0347,128.1856,"Korea, North",KP,PRK,Hamnam,,152759.0,1408269466
Songnim,Songnim,38.7542,125.645,"Korea, North",KP,PRK,Hwangbuk,,128831.0,1408214405
