city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tokyo,Tokyo,35.6897,139.6922,Japan,JP,JPN,Tōkyō,primary,37732000.0,1392685764
Ōsaka,Osaka,34.6939,135.5022,Japan,JP,JPN,Ōsaka,admin,15126000.0,1392419823
Nagoya,Nagoya,35.1833,136.9,Japan,JP,JPN,Aichi,admin,9197000.0,1392407472
Yokohama,Yokohama,35.4442,139.6381,Japan,JP,JPN,Kanagawa,admin,3757630.0,1392118339
Fukuoka,Fukuoka,33.59,130.4017,Japan,JP,JPN,Fukuoka,admin,2286000.0,1392576294
Sapporo,Sapporo,43.0619,141.3544,Japan,JP,JPN,Hokkaidō,admin,1959313.0,1392000195
Kawasaki,Kawasaki,35.5167,139.7,Japan,JP,JPN,Kanagawa,,1531646.0,1392003356
Kōbe,Kobe,34.69,135.1956,Japan,JP,JPN,Hyōgo,admin,1521707.0,1392978082
Kyōto,Kyoto,35.0117,135.7683,Japan,JP,JPN,Kyōto,admin,1463723.0,1392622735
Saitama,Saitama,35.8614,139.6456,Japan,JP,JPN,Saitama,admin,1325843.0,1392017719
Hiroshima,Hiroshima,34.3914,132.4519,Japan,JP,JPN,Hiroshima,admin,1198021.0,1392373695
Sendai,Sendai,38.2682,140.8694,Japan,JP,JPN,Miyagi,admin,1061177.0,1392457903
Chiba,Chiba,35.6073,140.1064,Japan,JP,JPN,Chiba,admin,975014.0,1392107144
Setagaya,Setagaya,35.6466,139.6532,Japan,JP,JPN,Tōkyō,,940071.0,1392792380
Kitakyūshū,Kitakyushu,33.8833,130.8833,Japan,JP,JPN,Fukuoka,,935084.0,1392003140
Sakai,Sakai,34.5733,135.4831,Japan,JP,JPN,Ōsaka,,824408.0,1392003291
Niigata,Niigata,37.9161,139.0364,Japan,JP,JPN,Niigata,admin,790646.0,1392913753
Hamamatsu,Hamamatsu,34.7108,137.7275,Japan,JP,JPN,Shizuoka,,788211.0,1392174500
Nerima,Nerima,35.7356,139.6517,Japan,JP,JPN,Tōkyō,,752608.0,1392093402
Ōta-ku,Ota-ku,35.5614,139.7161,Japan,JP,JPN,Tōkyō,,748081.0,1392003511
Kumamoto,Kumamoto,32.8031,130.7078,Japan,JP,JPN,Kumamoto,admin,738385.0,1392106283
Sagamihara,Sagamihara,35.5667,139.3667,Japan,JP,JPN,Kanagawa,,722973.0,1392967248
Okayama,Okayama,34.65,133.9167,Japan,JP,JPN,Okayama,admin,720043.0,1392954750
Edogawa,Edogawa,35.7,139.8833,Japan,JP,JPN,Chiba,,697932.0,1392135698
Shizuoka,Shizuoka,34.9756,138.3828,Japan,JP,JPN,Shizuoka,admin,685589.0,1392235505
Adachi,Adachi,35.7833,139.8,Japan,JP,JPN,Tōkyō,,682326.0,1392464568
Honchō,Honcho,35.6946,139.9826,Japan,JP,JPN,Chiba,,644668.0,1392505502
Kawaguchi,Kawaguchi,35.8077,139.7241,Japan,JP,JPN,Saitama,,607373.0,1392975133
Kagoshima,Kagoshima,31.6,130.55,Japan,JP,JPN,Kagoshima,admin,593754.0,1392120675
Itabashi,Itabashi,35.7667,139.6833,Japan,JP,JPN,Tōkyō,,584483.0,1392836404
Suginami-ku,Suginami-ku,35.6994,139.6364,Japan,JP,JPN,Tōkyō,,583609.0,1392003090
Hachiōji,Hachioji,35.6664,139.316,Japan,JP,JPN,Tōkyō,,575721.0,1392172935
Himeji,Himeji,34.8167,134.6833,Japan,JP,JPN,Hyōgo,,527596.0,1392003149
Kōtō-ku,Koto-ku,35.6667,139.8167,Japan,JP,JPN,Tōkyō,,524310.0,1392003346
Utsunomiya,Utsunomiya,36.5551,139.8826,Japan,JP,JPN,Tochigi,admin,518197.0,1392506125
Matsuyama,Matsuyama,33.8333,132.7667,Japan,JP,JPN,Ehime,admin,506743.0,1392220893
Matsudo,Matsudo,35.7876,139.9032,Japan,JP,JPN,Chiba,,497514.0,1392642525
Ichikawa,Ichikawa,35.7219,139.9311,Japan,JP,JPN,Chiba,,491716.0,1392076347
Higashi-ōsaka,Higashi-osaka,34.6794,135.6008,Japan,JP,JPN,Ōsaka,,490819.0,1392117396
Nishinomiya-hama,Nishinomiya-hama,34.7376,135.3416,Japan,JP,JPN,Hyōgo,,487010.0,1392114116
Kawachichō,Kawachicho,34.6794,135.6008,Japan,JP,JPN,Ōsaka,,486464.0,1392309686
Ōita,Oita,33.2333,131.6067,Japan,JP,JPN,Ōita,admin,477186.0,1392081193
Kurashiki,Kurashiki,34.585,133.7722,Japan,JP,JPN,Okayama,,474862.0,1392003246
Kanazawa,Kanazawa,36.5611,136.6564,Japan,JP,JPN,Ishikawa,admin,462479.0,1392684679
