city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
New York,New York,40.6943,-73.9249,United States,US,USA,New York,,18908608.0,1840034016
Los Angeles,Los Angeles,34.1141,-118.4068,United States,US,USA,California,,11922389.0,1840020491
Chicago,Chicago,41.8375,-87.6866,United States,US,USA,Illinois,,8497759.0,1840000494
Miami,Miami,25.784,-80.2101,United States,US,USA,Florida,,6080145.0,1840015149
Houston,Houston,29.786,-95.3885,United States,US,USA,Texas,,5970127.0,1840020925
Dallas,Dallas,32.7935,-96.7667,United States,US,USA,Texas,,5830932.0,1840019440
Philadelphia,Philadelphia,40.0077,-75.1339,United States,US,USA,Pennsylvania,,5683533.0,1840000673
Atlanta,Atlanta,33.7628,-84.422,United States,US,USA,Georgia,admin,5180179.0,1840013660
Washington,Washington,38.9047,-77.0163,United States,US,USA,District of Columbia,primary,5116378.0,1840006060
Boston,Boston,42.3188,-71.0852,United States,US,USA,Massachusetts,admin,4328315.0,1840000455
Phoenix,Phoenix,33.5722,-112.0892,United States,US,USA,Arizona,admin,4064275.0,1840020568
Detroit,Detroit,42.3834,-83.1024,United States,US,USA,Michigan,,3725908.0,1840003971
Seattle,Seattle,47.6211,-122.3244,United States,US,USA,Washington,,3561397.0,1840021117
San Francisco,San Francisco,37.7558,-122.4449,United States,US,USA,California,,3364979.0,1840021543
San Diego,San Diego,32.8313,-117.1222,United States,US,USA,California,,3046560.0,1840021990
Minneapolis,Minneapolis,44.9635,-93.2678,United States,US,USA,Minnesota,,2892569.0,1840007830
Tampa,Tampa,27.9945,-82.4447,United States,US,USA,Florida,,2861173.0,1840015982
Brooklyn,Brooklyn,40.6501,-73.9496,United States,US,USA,New York,,2736074.0,1840034030
Denver,Denver,39.762,-104.8758,United States,US,USA,Colorado,admin,2687458.0,1840018789
Queens,Queens,40.7498,-73.7976,United States,US,USA,New York,,2405464.0,1840034002
Riverside,Riverside,33.9381,-117.3949,United States,US,USA,California,,2332836.0,1840020551
Las Vegas,Las Vegas,36.2333,-115.2654,United States,US,USA,Nevada,,2248047.0,1840020364
Baltimore,Baltimore,39.3051,-76.6144,United States,US,USA,Maryland,,2196524.0,1840001592
